lei,name,domain,country
213800AI6RDXIAUVN294,GRESHAM CAPITAL CLO V B.V.,greshamtoyota.com,nl
213800SZNYJMA9WSNF89,KAAPSTANDER HOLDING B.V.,kaapstander.nl,nl
213800T29VDGFM62QZ60,FICC SPOLKA Z OGRANICZONA ODPOWIEDZIALNOSCIA EM SPOLKA KOMANDYTOWO AKCYJNA,ficci.in,pl
213800KU77SIYGNDU257,OSTC POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ost.ch,pl
2138003GIH4PHIZXC798,SUMMIT GLOBAL MANAGEMENT XV B.V.,summitracing.com,nl
2138002CKZJ9E3G8IA24,INPUT S.R.L.,inputmapper.com,it
213800QEYVA3XN3GP908,SR11 S.R.L,srpnet.com,it
213800UI3BW2AULWK506,IMPIANTO ALPHA S.R.L.,impianto.it,it
21380054N1ZN1PT9HN27,ECOSICILY S.R.L.,ecosicily.com,it
213800F9AXKCPSQMDU10,BENELUX INDUSTRIAL PARTNERS GERMAN PROPCO ONE B.V.,boip.int,nl
213800OMC9O4USTLQ176,PROLOGIS GERMANY LXXVIII B.V.,prologis.com,nl
213800JS1AM5OVDPZM93,RHINE EINDHOVEN PROPCO B.V.,rlp.de,nl
2138002GYKEZPDXCML49,AMSTERDAM COMMODITY TRADING B.V.,amsterdam.nl,nl
213800TXWC9L75EY9Z59,HERCULEAN TESTING GROUP B.V.,herculeanmealprep.com,nl
213800H6SFOCG6F6HI30,BRITISH AMERICAN TOBACCO FINANCE ZAR B.V.,gq-magazine.co.uk,nl
213800FP7J6CYZ3CKZ78,AG QUIDNET HOUNSLOW B.V.,agorapulse.com,nl
2138003CSUDJ8SB4HR14,PANASONIC BIOMEDICAL SALES EUROPE B.V.,panasonic.com,nl
213800SA1RFCECLPD565,CASTOR (AMERSFOORT) B.V.,castorama.pl,nl
213800HEYZIO95WAE595,CEVA LOGISTICS HOLDINGS B.V.,cevalogistics.com,nl
213800KP98YDXHSG1248,YOVA HELICONWEG B.V.,yovapp.com,nl
21380096NJ8G4H1ZR284,GLOTEX B.V.,glotexinc.com,nl
213800KDNHR3K4FKL132,HARRISMITH B.V.,harrismithmarathonclub.co.za,nl
2138006SQRQ7HXF1WH09,DEBOL B.V.,debollebuik.nl,nl
2138003NO3B5236T4T68,HB NAARDEN HOLDING B.V.,hbr.org,nl
213800O3E6BYMWKNU680,VALLIS B.V.,vallis.sk,nl
213800SDP9ZSEIF3DX83,BELEGGINGSMAATSCHAPPIJ PEXAS B.V.,beleggingsmaatschappij.nl,nl
2138003BZGWOLB2DVQ34,UMFOLOZI B.V.,umfolozicasino.co.za,nl
2138007AX486IBEXED58,KLERKSDORP B.V.,klerksdorpnews.co.za,nl
213800FOKHRLNMD9ZZ09,MBAY NETHERLANDS B.V.,mbay-rechnertechnik.de,nl
213800VXG3V2UVN3SU75,SCOTLAND INTERNATIONAL FINANCE NO. 2 B.V.,scotlandspeople.gov.uk,nl
213800UO1LGELNBRNN39,NATWEST SECURITIES B.V.,natwest.com,nl
213800SF3B5LZGY1JO53,RBS PARTICIPATIES B.V.,rbs.co.uk,nl
213800AOBSJSC8LQB819,SABMILLER POLAND BV,sabmiller.in,nl
213800E4W42CCO4MT133,MSX INTERNATIONAL NETHERLANDS B.V.,msxi.com,nl
2138006PGQZ14N858J74,BE BROADWAY B.V.,bestbuy.com,nl
213800L95OWCTWPHBC66,JOHNSON CONTROLS NEDERLAND HOLDING B.V.,jnj.com,nl
2138003ULB2MNGDL4Q45,EISAI B.V.,eisai.co.jp,nl
213800WD3LIAXK2J6G19,SHERE GROUP NETHERLANDS B.V,shereads.com,nl
213800KNM94SSJMEOP39,BEAL PROPCO B.V.,beallsflorida.com,nl
213800L4WHU8NFQYQ172,LAMITTA IV B.V.,lamitta.com,nl
213800QL2SN9DPUMO123,DGRP PROPCO B.V.,dgrproject.com,nl
213800HMXOOP5VXB6752,LOGICOR (CURVE) NETHERLANDS B.V.,logicortex.com,nl
2138005P4F2PJSCLLA39,ADVENTURE SHIPPING B.V.,adventurefeeds.com,nl
213800G9WH14B2APPC13,DISCOVERY SHIPPING B.V.,discovery.com,nl
2221002JYATTELTXSW55,DR. H.J.A.M. PENN CARDIOLOGIE B.V.,dropbox.com,nl
222100BAF384JDFG8X41,LES PETITES ECURIES,lesliespool.com,fr
213800DVZ9QU3UPBSZ38,PROTRADER,protrader.com,pl
213800SXCC76I15OKM32,TRADE WITH ROBIN B.V.,traderjoes.com,nl
2138002GIXHOTWHYT673,P J HILL - CHILDRENS SETTLEMENT,paypal.com,es
213800XFNMAAOIQB7638,GAZELEY HASSFURT GMBH & CO. KG,gazeleyandgazeley.com,de
2138008CIT5PYQCRZ932,ERSTE MONTI IMMOBILIENGESELLSCHAFT MBH & CO. KG,sparkasse.at,de
213800B6B3EVVM9ISU84,AXA PORTFOLIO 5,axar.az,de
2138007LQL4HU92NGN10,AMB ALTENWERDER DISTRIBUTION CENTER 1 B.V. & CO. KG,amboss.com,de
213800JRYKFF8JQK4236,UVB 3,uvbank.net,de
213800TGWVXY92RE5V43,ZWEITE MONTI IMMOBILIENGESELLSCHAFT MBH & CO. KG,zweite-haut.com,de
