lei,name,domain,country
213800AI6RDXIAUVN294,GRESHAM CAPITAL CLO V B.V.,greshamtoyota.com,nl
213800KU77SIYGNDU257,OSTC POLAND SPÓŁKA Z OGRANICZONĄ ODPOWIEDZIALNOŚCIĄ SPÓŁKA KOMANDYTOWA,ost.ch,pl
2138002CKZJ9E3G8IA24,INPUT S.R.L.,inputmapper.com,it
213800UI3BW2AULWK506,IMPIANTO ALPHA S.R.L.,impianto.it,it
21380054N1ZN1PT9HN27,ECOSICILY S.R.L.,ecosicily.com,it
213800OMC9O4USTLQ176,PROLOGIS GERMANY LXXVIII B.V.,prologis.com,nl
213800JS1AM5OVDPZM93,RHINE EINDHOVEN PROPCO B.V.,rlp.de,nl
2138002GYKEZPDXCML49,AMSTERDAM COMMODITY TRADING B.V.,amsterdam.nl,nl
213800FP7J6CYZ3CKZ78,AG QUIDNET HOUNSLOW B.V.,agorapulse.com,nl
213800KP98YDXHSG1248,YOVA HELICONWEG B.V.,yovapp.com,nl
213800KDNHR3K4FKL132,HARRISMITH B.V.,harrismithmarathonclub.co.za,nl
2138006SQRQ7HXF1WH09,DEBOL B.V.,debollebuik.nl,nl
2138003NO3B5236T4T68,HB NAARDEN HOLDING B.V.,hbr.org,nl
213800SDP9ZSEIF3DX83,BELEGGINGSMAATSCHAPPIJ PEXAS B.V.,beleggingsmaatschappij.nl,nl
2138003BZGWOLB2DVQ34,UMFOLOZI B.V.,umfolozicasino.co.za,nl
2138007AX486IBEXED58,KLERKSDORP B.V.,klerksdorpnews.co.za,nl
213800FOKHRLNMD9ZZ09,MBAY NETHERLANDS B.V.,mbay-rechnertechnik.de,nl
213800VXG3V2UVN3SU75,SCOTLAND INTERNATIONAL FINANCE NO. 2 B.V.,scotlandspeople.gov.uk,nl
213800SF3B5LZGY1JO53,RBS PARTICIPATIES B.V.,rbs.co.uk,nl
213800AOBSJSC8LQB819,SABMILLER POLAND BV,sabmiller.in,nl
2138003ULB2MNGDL4Q45,EISAI B.V.,eisai.co.jp,nl
213800WD3LIAXK2J6G19,SHERE GROUP NETHERLANDS B.V,shereads.com,nl
213800L4WHU8NFQYQ172,LAMITTA IV B.V.,lamitta.com,nl
213800QL2SN9DPUMO123,DGRP PROPCO B.V.,dgrproject.com,nl
2138005P4F2PJSCLLA39,ADVENTURE SHIPPING B.V.,adventurefeeds.com,nl
213800DVZ9QU3UPBSZ38,PROTRADER,protrader.com,pl
213800SXCC76I15OKM32,TRADE WITH ROBIN B.V.,traderjoes.com,nl
213800JRYKFF8JQK4236,UVB 3,uvbank.net,de
213800QPWFYOAXG5U227,FÜNFTE MONTI IMMOBILIENGESELLSCHAFT MBH & CO. KG,funftesrad.com,de
2138004YLNZSJHQ5J814,SECHSTE MONTI IMMOBILIENGESELLSCHAFT MBH & CO. KG,sechstela.cl,de
2138001TYJF8WAXC7J82,SIEBENTE MONTI IMMOBILIENGESELLSCHAFT MBH & CO. KG,adventisten.de,de
213800Q3WC141OWEUZ42,ELYSEE UHREN GMBH,elysee.fr,de
213800IVQKW1QVOM9U29,SYNERGY HEALTH RADEBERG GMBH,synergysportstech.com,de
213800QJYANGZ9SZ6O76,CCF CHARTERHOUSE GMBH,ccf.org.cn,de
213800DKPYTSVGIMYE31,CEREP PEAK GMBH,cereproc.com,de
213800L3YD8VCNVPFW59,KME METAL GMBH,7kmetals.com,de
