CN_Code,Direct_Emissions,Direct_Lower_Threshold,Direct_Upper_Threshold,Indirect_Emissions,Indirect_Lower_Threshold,Indirect_Upper_Threshold
25070080,0.23,0.115,0.46,0.08,0.04,0.16
25231000,0.83,0.415,1.66,0.04,0.02,0.08
25232100,1.16,0.58,2.32,0.1,0.05,0.2
25232900,0.81,0.405,1.62,0.06,0.03,0.12
25233000,1.75,0.875,3.5,0.15,0.075,0.3
25239000,0.59,0.295,1.18,0.04,0.02,0.08
26011200,0.31,0.155,0.62,0.05,0.025,0.1
28041000,10.4,5.2,20.8,0.0,0.0,0.0
28080000,2.56,1.28,5.12,0.05,0.025,0.1
28141000,2.68,1.34,5.36,0.14,0.07,0.28
28142000,2.68,1.34,5.36,0.14,0.07,0.28
28342100,1.82,0.91,3.64,0.06,0.03,0.12
31021010,1.78,0.89,3.56,0.12,0.06,0.24
31021090,1.78,0.89,3.56,0.12,0.06,0.24
31022100,0.86,0.43,1.72,0.09,0.045,0.18
31022900,1.54,0.77,3.08,0.1,0.05,0.2
31023010,2.32,1.16,4.64,0.07,0.035,0.14
31023090,2.32,1.16,4.64,0.07,0.035,0.14
31024010,1.77,0.885,3.54,0.06,0.03,0.12
31024090,1.77,0.885,3.54,0.06,0.03,0.12
31025000,3.99,1.995,7.98,0.07,0.035,0.14
31026000,1.87,0.935,3.74,0.08,0.04,0.16
31028000,1.28,0.64,2.56,0.06,0.03,0.12
31029000,1.65,0.825,3.3,0.1,0.05,0.2
31051000,0.94,0.47,1.88,0.08,0.04,0.16
31052010,1.23,0.615,2.46,0.11,0.055,0.22
31052090,1.23,0.615,2.46,0.11,0.055,0.22
31053000,0.69,0.345,1.38,0.06,0.03,0.12
31054000,0.44,0.22,0.88,0.05,0.025,0.1
31055100,1.29,0.645,2.58,0.11,0.055,0.22
31055900,1.29,0.645,2.58,0.11,0.055,0.22
31059020,0.94,0.47,1.88,0.08,0.04,0.16
31059080,0.94,0.47,1.88,0.08,0.04,0.16
72011011,1.9,0.95,3.8,0.17,0.085,0.34
72011019,1.9,0.95,3.8,0.17,0.085,0.34
72011030,1.9,0.95,3.8,0.17,0.085,0.34
72011090,1.9,0.95,3.8,0.17,0.085,0.34
72012000,1.9,0.95,3.8,0.17,0.085,0.34
72015010,1.9,0.95,3.8,0.17,0.085,0.34
72015090,1.9,0.95,3.8,0.17,0.085,0.34
72021120,1.44,0.72,2.88,2.08,1.04,4.16
72021180,1.44,0.72,2.88,2.08,1.04,4.16
72021900,1.44,0.72,2.88,2.08,1.04,4.16
72024110,2.07,1.035,4.14,3.38,1.69,6.76
72024190,2.07,1.035,4.14,3.38,1.69,6.76
72024910,2.07,1.035,4.14,3.38,1.69,6.76
72024950,2.07,1.035,4.14,3.38,1.69,6.76
72024990,2.07,1.035,4.14,3.38,1.69,6.76
72026000,3.48,1.74,6.96,2.81,1.405,5.62
72031000,4.81,2.405,9.62,0.0,0.0,0.0
72039000,4.81,2.405,9.62,0.0,0.0,0.0
72051000,1.9,0.95,3.8,0.17,0.085,0.34
72052100,1.9,0.95,3.8,0.17,0.085,0.34
72052900,1.9,0.95,3.8,0.17,0.085,0.34
72061000,2.52,1.26,5.04,0.23,0.115,0.46
72069000,1.97,0.985,3.94,0.23,0.115,0.46
72071111,1.89,0.945,3.78,0.32,0.16,0.64
72071114,1.89,0.945,3.78,0.32,0.16,0.64
72071116,1.89,0.945,3.78,0.32,0.16,0.64
72071190,2.65,1.325,5.3,0.62,0.31,1.24
72071210,1.89,0.945,3.78,0.32,0.16,0.64
72071290,2.65,1.325,5.3,0.62,0.31,1.24
72071912,1.89,0.945,3.78,0.32,0.16,0.64
72071919,2.65,1.325,5.3,0.62,0.31,1.24
72071980,1.89,0.945,3.78,0.32,0.16,0.64
72072011,1.89,0.945,3.78,0.32,0.16,0.64
72072015,1.89,0.945,3.78,0.32,0.16,0.64
72072017,1.89,0.945,3.78,0.32,0.16,0.64
72072019,2.65,1.325,5.3,0.62,0.31,1.24
72072032,1.89,0.945,3.78,0.32,0.16,0.64
72072039,2.65,1.325,5.3,0.62,0.31,1.24
72072052,1.89,0.945,3.78,0.32,0.16,0.64
